ID,Year_Birth,Income,Kidhome,Teenhome,Dt_Customer,Recency,Total_Conversions,Conversion_Rate,CPA,ROI,Total_Leads,Max_Leads_Source,Z_CostContact,Z_Revenue,NumWebPurchases,NumCatalogPurchases,NumStorePurchases
1050,1952,28332.0,0,0,2014-04-30,58,0,0.0,0.0,266.66666666666663,7,NumStorePurchases,3,11,2,1,4
5846,1977,40246.0,1,0,2012-12-19,68,0,0.0,0.0,266.66666666666663,3,NumStorePurchases,3,11,1,0,2
1859,1972,75251.0,0,0,2012-08-27,34,0,0.0,0.0,266.66666666666663,18,NumWebPurchases,3,11,7,6,5
7503,1976,75825.0,0,0,2012-10-12,40,1,1.0,3.0,266.66666666666663,22,NumStorePurchases,3,11,5,8,9
10401,1976,26326.0,0,0,2013-09-04,12,0,0.0,0.0,266.66666666666663,3,NumStorePurchases,3,11,0,0,3
1618,1965,56046.0,0,0,2013-01-02,9,1,1.0,3.0,266.66666666666663,19,NumWebPurchases,3,11,10,1,8
3332,1985,29760.0,1,0,2012-08-29,87,0,0.0,0.0,266.66666666666663,8,NumStorePurchases,3,11,3,1,4
2261,1969,26304.0,1,0,2013-06-23,5,0,0.0,0.0,266.66666666666663,3,NumStorePurchases,3,11,1,0,2
5346,1973,23559.0,1,0,2013-07-03,87,0,0.0,0.0,266.66666666666663,6,NumWebPurchases,3,11,3,0,3
4119,1963,38620.0,0,0,2013-05-11,56,0,0.0,0.0,266.66666666666663,10,NumCatalogPurchases,3,11,2,5,3
535,1987,81361.0,0,0,2014-02-25,18,0,0.0,0.0,266.66666666666663,26,NumStorePurchases,3,11,3,10,13
5268,1960,29440.0,1,1,2013-08-11,95,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,1,0,4
273,1970,36138.0,1,1,2013-07-16,48,1,1.0,3.0,266.66666666666663,8,NumStorePurchases,3,11,3,1,4
4452,1957,50388.0,0,1,2014-05-28,3,2,1.0,1.5,266.66666666666663,13,NumWebPurchases,3,11,6,1,6
8504,1973,79593.0,0,0,2014-05-12,70,1,1.0,3.0,266.66666666666663,18,NumStorePurchases,3,11,5,6,7
771,1967,54178.0,0,1,2014-01-21,79,0,0.0,0.0,266.66666666666663,9,NumStorePurchases,3,11,2,2,5
8996,1957,51381.5,2,1,2012-11-19,4,0,0.0,0.0,266.66666666666663,17,NumStorePurchases,3,11,7,2,8
9235,1957,51381.5,1,1,2014-05-27,45,0,0.0,0.0,266.66666666666663,3,NumStorePurchases,3,11,1,0,2
5798,1973,51381.5,0,0,2013-11-23,87,0,0.0,0.0,266.66666666666663,14,NumStorePurchases,3,11,2,4,8
11178,1972,42394.0,1,0,2014-03-23,69,0,0.0,0.0,266.66666666666663,4,NumStorePurchases,3,11,1,0,3
2230,1970,23626.0,1,0,2014-05-24,84,0,0.0,0.0,266.66666666666663,7,NumWebPurchases,3,11,3,1,3
7516,1983,30096.0,1,0,2014-05-22,30,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,2,0,3
7247,1960,47916.0,0,1,2012-11-22,72,1,1.0,3.0,266.66666666666663,17,NumWebPurchases,3,11,7,4,6
11100,1972,51813.0,1,1,2013-04-11,37,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,2,0,3
4646,1951,78497.0,0,0,2013-12-01,44,1,1.0,3.0,266.66666666666663,24,NumStorePurchases,3,11,5,7,12
3037,1983,50150.0,0,0,2013-06-20,32,0,0.0,0.0,266.66666666666663,14,NumStorePurchases,3,11,5,2,7
1473,1960,47823.0,0,1,2013-07-23,0,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,2,0,3
1016,1959,34554.0,0,1,2014-03-30,43,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,2,0,3
4518,1979,85693.0,0,1,2013-04-20,59,0,0.0,0.0,266.66666666666663,25,NumStorePurchases,3,11,9,5,11
9370,1945,65846.0,0,0,2013-05-17,68,0,0.0,0.0,266.66666666666663,15,NumWebPurchases,3,11,6,3,6
8908,1959,87195.0,0,0,2014-05-08,35,0,0.0,0.0,266.66666666666663,19,NumCatalogPurchases,3,11,3,11,5
8373,1979,24594.0,1,0,2013-12-10,94,0,0.0,0.0,266.66666666666663,4,NumStorePurchases,3,11,1,0,3
7533,1964,49096.0,1,1,2013-09-24,15,0,0.0,0.0,266.66666666666663,9,NumWebPurchases,3,11,4,1,4
2683,1969,52413.0,0,2,2013-02-02,56,0,0.0,0.0,266.66666666666663,22,NumStorePurchases,3,11,6,4,12
3629,1978,38557.0,1,0,2012-12-19,17,0,0.0,0.0,266.66666666666663,7,NumWebPurchases,3,11,3,1,3
10991,1960,89058.0,0,0,2012-12-07,18,0,0.0,0.0,266.66666666666663,13,NumWebPurchases,3,11,5,4,4
5077,1979,77298.0,0,1,2013-11-02,46,0,0.0,0.0,266.66666666666663,23,NumStorePurchases,3,11,6,6,11
7431,1991,68126.0,0,0,2012-11-10,40,1,1.0,3.0,266.66666666666663,16,NumWebPurchases,3,11,7,4,5
3267,1963,57288.0,0,1,2014-06-25,27,1,1.0,3.0,266.66666666666663,17,NumWebPurchases,3,11,8,1,8
999,1991,86037.0,0,0,2013-01-02,95,2,1.0,1.5,266.66666666666663,24,NumStorePurchases,3,11,6,7,11
9215,1980,43974.0,1,0,2012-12-12,19,0,0.0,0.0,266.66666666666663,16,NumWebPurchases,3,11,6,4,6
2286,1962,50785.0,1,1,2013-09-10,27,0,0.0,0.0,266.66666666666663,6,NumStorePurchases,3,11,2,1,3
1592,1970,90765.0,0,0,2014-01-24,25,2,1.0,1.5,266.66666666666663,15,NumCatalogPurchases,3,11,4,6,5
367,1978,36550.0,1,0,2013-02-19,74,0,0.0,0.0,266.66666666666663,15,NumWebPurchases,3,11,9,1,5
5234,1967,30753.0,1,1,2013-07-11,85,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,1,1,3
9862,1969,21918.0,1,0,2013-11-14,37,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,2,0,3
9805,1953,56129.0,0,1,2013-06-20,65,0,0.0,0.0,266.66666666666663,18,NumStorePurchases,3,11,6,2,10
6205,1967,32557.0,1,0,2014-02-24,13,0,0.0,0.0,266.66666666666663,6,NumStorePurchases,3,11,2,1,3
8442,1985,19510.0,2,0,2013-09-04,63,0,0.0,0.0,266.66666666666663,4,NumStorePurchases,3,11,1,0,3
7386,1976,30992.0,1,0,2013-04-22,83,0,0.0,0.0,266.66666666666663,4,NumStorePurchases,3,11,1,0,3
7215,1983,101970.0,0,0,2013-03-12,69,3,1.0,1.0,266.66666666666663,27,NumStorePurchases,3,11,6,8,13
1491,1965,71488.0,0,0,2013-02-18,87,0,0.0,0.0,266.66666666666663,14,NumStorePurchases,3,11,3,4,7
11071,1984,79607.0,0,0,2013-04-21,37,0,0.0,0.0,266.66666666666663,15,NumCatalogPurchases,3,11,3,6,6
3381,1953,54348.0,1,1,2014-06-08,51,0,0.0,0.0,266.66666666666663,6,NumStorePurchases,3,11,2,0,4
8268,1961,51381.5,0,1,2013-07-11,23,0,0.0,0.0,266.66666666666663,14,NumStorePurchases,3,11,6,1,7
11051,1956,77376.0,1,1,2014-05-10,72,0,0.0,0.0,266.66666666666663,19,NumStorePurchases,3,11,6,3,10
8026,1952,62998.0,0,1,2013-09-30,10,0,0.0,0.0,266.66666666666663,14,NumWebPurchases,3,11,5,4,5
433,1958,61331.0,1,1,2013-03-10,42,0,0.0,0.0,266.66666666666663,18,NumWebPurchases,3,11,11,1,6
9597,1969,73448.0,0,0,2014-02-10,10,0,0.0,0.0,266.66666666666663,18,NumStorePurchases,3,11,7,2,9
1295,1963,51381.5,0,1,2013-08-11,96,0,0.0,0.0,266.66666666666663,18,NumStorePurchases,3,11,6,5,7
5290,1964,41551.0,1,1,2013-08-14,51,0,0.0,0.0,266.66666666666663,11,NumWebPurchases,3,11,5,1,5
1685,1967,62981.0,0,0,2013-03-17,21,1,1.0,3.0,266.66666666666663,22,NumStorePurchases,3,11,4,5,13
5342,1976,9548.0,1,0,2012-08-08,31,0,0.0,0.0,266.66666666666663,4,NumStorePurchases,3,11,1,0,3
9579,1959,33762.0,2,1,2013-07-07,61,0,0.0,0.0,266.66666666666663,6,NumWebPurchases,3,11,2,2,2
7660,1973,35860.0,1,1,2014-05-19,37,1,1.0,3.0,266.66666666666663,4,NumStorePurchases,3,11,1,1,2
1461,1965,36921.0,1,1,2013-07-28,74,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,2,0,3
821,1992,92859.0,0,0,2012-10-19,46,0,0.0,0.0,266.66666666666663,21,NumStorePurchases,3,11,5,4,12
11084,1976,65104.0,0,1,2013-11-14,4,0,0.0,0.0,266.66666666666663,15,NumStorePurchases,3,11,3,5,7
8690,1962,86111.0,0,0,2013-04-19,73,0,0.0,0.0,266.66666666666663,22,NumStorePurchases,3,11,5,7,10
2937,1974,68352.0,0,1,2013-08-28,47,0,0.0,0.0,266.66666666666663,22,NumStorePurchases,3,11,8,5,9
9701,1988,41883.0,1,0,2013-03-19,13,0,0.0,0.0,266.66666666666663,9,NumWebPurchases,3,11,4,2,3
9949,1976,59809.0,0,2,2012-10-18,36,0,0.0,0.0,266.66666666666663,12,NumStorePurchases,3,11,3,3,6
10837,1975,23957.0,1,0,2012-10-28,47,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,2,0,3
3120,1981,38547.0,1,0,2013-08-28,49,0,0.0,0.0,266.66666666666663,3,NumStorePurchases,3,11,1,0,2
5885,1973,35688.0,2,1,2012-08-22,94,0,0.0,0.0,266.66666666666663,9,NumWebPurchases,3,11,4,1,4
4050,1966,49605.0,0,0,2014-06-21,65,0,0.0,0.0,266.66666666666663,7,NumStorePurchases,3,11,2,1,4
3830,1953,59354.0,0,2,2014-04-24,59,0,0.0,0.0,266.66666666666663,15,NumStorePurchases,3,11,4,4,7
7987,1969,65747.0,0,1,2014-03-07,96,1,1.0,3.0,266.66666666666663,15,NumWebPurchases,3,11,8,1,6
7798,1972,46344.0,0,1,2012-12-14,28,0,0.0,0.0,266.66666666666663,13,NumWebPurchases,3,11,7,1,5
92,1988,34176.0,1,0,2014-05-12,12,0,0.0,0.0,266.66666666666663,7,NumStorePurchases,3,11,3,0,4
7055,1952,61010.0,0,1,2012-10-09,57,0,0.0,0.0,266.66666666666663,24,NumStorePurchases,3,11,8,5,11
10240,1949,69372.0,0,0,2013-02-19,10,2,1.0,1.5,266.66666666666663,20,NumWebPurchases,3,11,10,4,6
3025,1958,49967.0,0,1,2013-07-08,4,0,0.0,0.0,266.66666666666663,12,NumWebPurchases,3,11,6,1,5
9283,1978,60199.0,1,2,2013-09-12,49,0,0.0,0.0,266.66666666666663,3,NumStorePurchases,3,11,0,0,3
9970,1977,55375.0,0,1,2013-10-17,3,0,0.0,0.0,266.66666666666663,8,NumStorePurchases,3,11,1,1,6
2730,1955,80317.0,0,0,2013-08-20,64,0,0.0,0.0,266.66666666666663,17,NumStorePurchases,3,11,3,4,10
2795,1958,30523.0,2,1,2013-07-01,0,0,0.0,0.0,266.66666666666663,3,NumStorePurchases,3,11,1,0,2
9260,1945,70356.0,0,0,2012-11-05,20,0,0.0,0.0,266.66666666666663,25,NumWebPurchases,3,11,10,6,9
8182,1984,23228.0,1,0,2014-01-05,91,0,0.0,0.0,266.66666666666663,7,NumStorePurchases,3,11,3,0,4
10095,1975,74165.0,0,0,2013-05-01,9,0,0.0,0.0,266.66666666666663,19,NumStorePurchases,3,11,5,4,10
8475,1973,157243.0,0,1,2014-03-01,98,0,0.0,0.0,266.66666666666663,22,NumCatalogPurchases,3,11,0,22,0
4370,1966,43482.0,2,1,2013-11-13,83,0,0.0,0.0,266.66666666666663,6,NumStorePurchases,3,11,2,0,4
10573,1953,62551.0,0,0,2013-11-18,27,1,1.0,3.0,266.66666666666663,17,NumCatalogPurchases,3,11,6,7,4
3712,1959,52332.0,0,0,2013-08-28,63,1,1.0,3.0,266.66666666666663,11,NumStorePurchases,3,11,3,2,6
6637,1988,66951.0,0,0,2013-11-02,46,0,0.0,0.0,266.66666666666663,14,NumStorePurchases,3,11,3,4,7
3152,1957,26091.0,1,1,2014-02-25,84,0,0.0,0.0,266.66666666666663,6,NumStorePurchases,3,11,2,1,3
5610,1965,33456.0,1,1,2014-04-21,58,0,0.0,0.0,266.66666666666663,4,NumStorePurchases,3,11,1,0,3
6460,1982,28718.0,1,0,2013-07-13,78,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,2,0,3
1349,1970,50447.0,2,0,2014-04-21,4,0,0.0,0.0,266.66666666666663,7,NumWebPurchases,3,11,3,1,3
1880,1959,53537.0,1,1,2014-01-30,17,0,0.0,0.0,266.66666666666663,6,NumStorePurchases,3,11,2,1,3
641,1967,52074.0,0,1,2014-04-04,77,1,1.0,3.0,266.66666666666663,6,NumWebPurchases,3,11,2,2,2
8717,1975,80427.0,0,1,2012-09-12,56,0,0.0,0.0,266.66666666666663,27,NumWebPurchases,3,11,11,8,8
10314,1948,83837.0,0,0,2012-12-16,79,2,1.0,1.5,266.66666666666663,24,NumCatalogPurchases,3,11,9,10,5
10854,1970,38853.0,1,1,2014-05-23,90,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,2,0,3
10492,1959,38285.0,2,1,2014-06-24,96,0,0.0,0.0,266.66666666666663,3,NumStorePurchases,3,11,0,0,3
6935,1951,78497.0,0,0,2013-12-01,44,1,1.0,3.0,266.66666666666663,24,NumStorePurchases,3,11,5,7,12
7698,1976,51650.0,0,1,2014-05-11,81,0,0.0,0.0,266.66666666666663,9,NumWebPurchases,3,11,4,1,4
3559,1988,16248.0,1,0,2014-05-10,77,0,0.0,0.0,266.66666666666663,6,NumStorePurchases,3,11,2,1,3
10562,1946,66835.0,0,0,2013-09-28,21,0,0.0,0.0,266.66666666666663,23,NumStorePurchases,3,11,6,4,13
10796,1984,30477.0,1,0,2014-01-22,16,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,1,1,3
2563,1961,28249.0,0,0,2014-06-15,80,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,2,0,3
3518,1983,25271.0,1,0,2012-12-05,45,0,0.0,0.0,266.66666666666663,4,NumStorePurchases,3,11,1,1,2
5823,1970,32303.0,0,1,2014-03-08,63,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,1,0,4
3934,1966,61286.0,0,1,2013-08-02,34,0,0.0,0.0,266.66666666666663,16,NumStorePurchases,3,11,7,1,8
6982,1976,74068.0,0,0,2013-03-19,14,0,0.0,0.0,266.66666666666663,23,NumCatalogPurchases,3,11,4,10,9
6431,1964,45759.0,1,1,2013-02-23,13,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,2,0,3
9733,1978,24882.0,1,0,2012-09-09,52,1,1.0,3.0,266.66666666666663,4,NumStorePurchases,3,11,1,1,2
5602,1989,66973.0,0,0,2013-05-17,98,0,0.0,0.0,266.66666666666663,27,NumStorePurchases,3,11,8,7,12
7829,1900,36640.0,1,0,2013-09-26,99,0,0.0,0.0,266.66666666666663,5,NumWebPurchases,3,11,2,1,2
1324,1988,38872.0,1,0,2013-05-30,93,0,0.0,0.0,266.66666666666663,6,NumWebPurchases,3,11,3,0,3
326,1973,51148.0,1,1,2013-02-18,38,0,0.0,0.0,266.66666666666663,12,NumStorePurchases,3,11,5,1,6
7224,1977,31353.0,1,1,2013-12-29,24,0,0.0,0.0,266.66666666666663,4,NumStorePurchases,3,11,1,1,2
6999,1980,69661.0,0,0,2014-05-13,80,0,0.0,0.0,266.66666666666663,22,NumStorePurchases,3,11,7,3,12
9938,1954,80067.0,0,0,2013-09-19,82,1,1.0,3.0,266.66666666666663,16,NumCatalogPurchases,3,11,4,6,6
6422,1954,86718.0,0,0,2013-01-17,20,0,0.0,0.0,266.66666666666663,16,NumCatalogPurchases,3,11,5,6,5
3182,1973,46854.0,1,1,2014-03-31,81,1,1.0,3.0,266.66666666666663,9,NumWebPurchases,3,11,5,1,3
7300,1952,69142.0,0,1,2014-06-29,50,1,1.0,3.0,266.66666666666663,16,NumWebPurchases,3,11,8,1,7
10424,1968,75922.0,0,0,2013-12-09,60,0,0.0,0.0,266.66666666666663,17,NumStorePurchases,3,11,4,4,9
8727,1978,63693.0,0,1,2013-10-14,63,0,0.0,0.0,266.66666666666663,26,NumWebPurchases,3,11,11,6,9
2798,1977,102160.0,0,0,2012-11-02,54,3,1.0,1.0,266.66666666666663,26,NumStorePurchases,3,11,7,9,10
1030,1965,40637.0,1,1,2013-07-17,72,0,0.0,0.0,266.66666666666663,4,NumStorePurchases,3,11,1,0,3
624,1984,18890.0,0,0,2012-11-10,5,1,1.0,3.0,266.66666666666663,3,NumStorePurchases,3,11,0,1,2
5176,1988,29604.0,1,0,2013-12-08,88,1,1.0,3.0,266.66666666666663,4,NumStorePurchases,3,11,1,0,3
5552,1963,48721.0,1,1,2013-05-13,50,0,0.0,0.0,266.66666666666663,11,NumStorePurchases,3,11,4,2,5
868,1966,44794.0,0,1,2014-06-08,99,0,0.0,0.0,266.66666666666663,5,NumStorePurchases,3,11,2,0,3
380,1954,64497.0,0,1,2012-09-10,17,1,1.0,3.0,266.66666666666663,24,NumWebPurchases,3,11,11,4,9
2677,1956,46097.0,0,1,2013-03-31,11,0,0.0,0.0,266.66666666666663,10,NumStorePurchases,3,11,3,1,6
6521,1954,77972.0,0,0,2014-03-18,18,0,0.0,0.0,266.66666666666663,19,NumStorePurchases,3,11,4,6,9
6927,1968,44377.0,1,1,2012-10-05,70,0,0.0,0.0,266.66666666666663,11,NumWebPurchases,3,11,5,1,5
2877,1974,46014.0,1,1,2013-01-21,21,0,0.0,0.0,266.66666666666663,16,NumStorePurchases,3,11,7,1,8
0,1985,70951.0,0,0,2013-05-04,66,0,0.0,0.0,266.66666666666663,16,NumStorePurchases,3,11,3,4,9
1584,1977,41443.0,1,0,2014-04-01,79,0,0.0,0.0,266.66666666666663,14,NumWebPurchases,3,11,8,1,5
7264,1978,52195.0,2,1,2014-05-12,2,0,0.0,0.0,266.66666666666663,3,NumStorePurchases,3,11,1,0,2
